0.05;0.05;27.38;0.0008
0.05;0.10;26.28;0.0011
0.05;0.15;23.44;0.0015
0.05;0.20;22.10;0.0025
0.05;0.25;20.46;0.0031
0.05;0.30;19.12;0.0035
0.05;0.35;18.62;0.0036
0.05;0.40;18.14;0.0041
0.05;0.45;17.68;0.0045
0.05;0.50;17.00;0.0051
0.05;0.55;16.78;0.0051
0.05;0.60;15.64;0.0065
0.05;0.65;16.88;0.0064
0.05;0.70;15.78;0.0051
0.05;0.75;15.54;0.0060
0.05;0.80;15.68;0.0068
0.05;0.85;16.06;0.0066
0.05;0.90;16.04;0.0060
0.05;0.95;15.70;0.0061
0.05;1.00;15.38;0.0056
0.05;1.05;15.32;0.0059
0.05;1.10;16.40;0.0061
0.05;1.15;15.60;0.0063
0.05;1.20;16.16;0.0068
0.05;1.25;16.42;0.0054
0.05;1.30;16.56;0.0053
0.05;1.35;16.18;0.0059
0.05;1.40;16.72;0.0059
0.05;1.45;16.50;0.0057
0.05;1.50;17.34;0.0049
0.05;1.55;17.56;0.0051
0.05;1.60;17.44;0.0047
0.05;1.65;18.62;0.0042
0.05;1.70;19.78;0.0031
0.05;1.75;20.54;0.0029
0.05;1.80;21.58;0.0023
0.05;1.85;24.64;0.0015
0.05;1.90;26.10;0.0010
0.05;1.95;28.20;0.0007
0.10;0.05;26.12;0.0013
0.10;0.10;23.36;0.0015
0.10;0.15;22.36;0.0023
0.10;0.20;21.32;0.0027
0.10;0.25;21.16;0.0035
0.10;0.30;20.36;0.0037
0.10;0.35;18.60;0.0045
0.10;0.40;17.62;0.0051
0.10;0.45;17.48;0.0044
0.10;0.50;16.90;0.0051
0.10;0.55;16.10;0.0051
0.10;0.60;16.52;0.0057
0.10;0.65;15.36;0.0055
0.10;0.70;15.92;0.0056
0.10;0.75;16.38;0.0056
0.10;0.80;15.52;0.0059
0.10;0.85;16.22;0.0060
0.10;0.90;15.94;0.0061
0.10;0.95;16.04;0.0047
0.10;1.00;15.28;0.0054
0.10;1.05;15.90;0.0050
0.10;1.10;15.62;0.0056
0.10;1.15;15.20;0.0061
0.10;1.20;15.76;0.0063
0.10;1.25;16.46;0.0061
0.10;1.30;16.36;0.0057
0.10;1.35;16.72;0.0052
0.10;1.40;17.16;0.0053
0.10;1.45;16.92;0.0055
0.10;1.50;16.86;0.0050
0.10;1.55;17.94;0.0038
0.10;1.60;17.70;0.0041
0.10;1.65;18.82;0.0043
0.10;1.70;19.78;0.0040
0.10;1.75;20.72;0.0032
0.10;1.80;21.62;0.0028
0.10;1.85;22.98;0.0023
0.10;1.90;24.04;0.0013
0.10;1.95;26.76;0.0012
0.15;0.05;23.40;0.0018
0.15;0.10;23.44;0.0022
0.15;0.15;21.64;0.0025
0.15;0.20;21.14;0.0033
0.15;0.25;19.88;0.0036
0.15;0.30;19.20;0.0041
0.15;0.35;18.14;0.0046
0.15;0.40;18.14;0.0050
0.15;0.45;18.18;0.0049
0.15;0.50;17.38;0.0044
0.15;0.55;16.76;0.0045
0.15;0.60;16.52;0.0050
0.15;0.65;16.08;0.0050
0.15;0.70;16.34;0.0050
0.15;0.75;16.70;0.0056
0.15;0.80;16.20;0.0053
0.15;0.85;15.72;0.0064
0.15;0.90;15.96;0.0049
0.15;0.95;16.34;0.0064
0.15;1.00;16.20;0.0057
0.15;1.05;16.12;0.0054
0.15;1.10;16.08;0.0062
0.15;1.15;15.54;0.0049
0.15;1.20;15.62;0.0064
0.15;1.25;15.74;0.0055
0.15;1.30;15.84;0.0056
0.15;1.35;16.18;0.0053
0.15;1.40;15.76;0.0054
0.15;1.45;17.16;0.0048
0.15;1.50;17.66;0.0050
0.15;1.55;17.30;0.0047
0.15;1.60;18.32;0.0045
0.15;1.65;18.48;0.0044
0.15;1.70;18.90;0.0038
0.15;1.75;20.38;0.0033
0.15;1.80;20.08;0.0030
0.15;1.85;21.10;0.0020
0.15;1.90;23.28;0.0024
0.15;1.95;23.46;0.0021
0.20;0.05;20.00;0.0026
0.20;0.10;21.06;0.0027
0.20;0.15;20.40;0.0026
0.20;0.20;19.22;0.0031
0.20;0.25;20.18;0.0043
0.20;0.30;18.42;0.0038
0.20;0.35;18.98;0.0049
0.20;0.40;18.24;0.0047
0.20;0.45;17.44;0.0045
0.20;0.50;17.44;0.0046
0.20;0.55;16.76;0.0048
0.20;0.60;16.80;0.0045
0.20;0.65;16.76;0.0045
0.20;0.70;16.26;0.0055
0.20;0.75;16.14;0.0055
0.20;0.80;15.78;0.0054
0.20;0.85;15.86;0.0054
0.20;0.90;15.52;0.0056
0.20;0.95;15.84;0.0061
0.20;1.00;15.78;0.0052
0.20;1.05;15.62;0.0055
0.20;1.10;15.96;0.0056
0.20;1.15;15.40;0.0051
0.20;1.20;15.32;0.0057
0.20;1.25;16.62;0.0051
0.20;1.30;16.38;0.0049
0.20;1.35;16.38;0.0045
0.20;1.40;16.70;0.0045
0.20;1.45;17.42;0.0045
0.20;1.50;17.64;0.0053
0.20;1.55;17.38;0.0046
0.20;1.60;17.84;0.0045
0.20;1.65;18.24;0.0042
0.20;1.70;19.24;0.0041
0.20;1.75;19.54;0.0034
0.20;1.80;20.04;0.0040
0.20;1.85;20.24;0.0032
0.20;1.90;19.94;0.0028
0.20;1.95;20.40;0.0025
0.25;0.05;19.76;0.0031
0.25;0.10;20.14;0.0037
0.25;0.15;21.02;0.0033
0.25;0.20;18.96;0.0034
0.25;0.25;18.82;0.0036
0.25;0.30;19.18;0.0040
0.25;0.35;18.66;0.0041
0.25;0.40;17.96;0.0048
0.25;0.45;18.48;0.0042
0.25;0.50;17.04;0.0058
0.25;0.55;16.98;0.0047
0.25;0.60;16.88;0.0046
0.25;0.65;16.58;0.0044
0.25;0.70;16.78;0.0048
0.25;0.75;16.30;0.0051
0.25;0.80;15.78;0.0051
0.25;0.85;15.52;0.0049
0.25;0.90;16.30;0.0049
0.25;0.95;15.48;0.0046
0.25;1.00;16.22;0.0051
0.25;1.05;15.80;0.0047
0.25;1.10;15.92;0.0049
0.25;1.15;16.20;0.0054
0.25;1.20;16.34;0.0051
0.25;1.25;16.00;0.0050
0.25;1.30;16.46;0.0051
0.25;1.35;16.92;0.0044
0.25;1.40;17.26;0.0043
0.25;1.45;16.68;0.0048
0.25;1.50;16.94;0.0049
0.25;1.55;18.18;0.0046
0.25;1.60;18.06;0.0044
0.25;1.65;18.20;0.0042
0.25;1.70;19.00;0.0044
0.25;1.75;19.18;0.0035
0.25;1.80;19.38;0.0040
0.25;1.85;20.14;0.0034
0.25;1.90;19.94;0.0035
0.25;1.95;21.34;0.0027
0.30;0.05;19.18;0.0037
0.30;0.10;18.18;0.0035
0.30;0.15;18.20;0.0043
0.30;0.20;18.78;0.0035
0.30;0.25;18.18;0.0036
0.30;0.30;18.26;0.0040
0.30;0.35;18.16;0.0040
0.30;0.40;17.44;0.0045
0.30;0.45;17.28;0.0049
0.30;0.50;17.76;0.0044
0.30;0.55;17.20;0.0048
0.30;0.60;16.68;0.0045
0.30;0.65;17.22;0.0043
0.30;0.70;16.90;0.0045
0.30;0.75;16.92;0.0048
0.30;0.80;16.28;0.0049
0.30;0.85;16.66;0.0049
